,HS_code,HS_description,cluster_labels
1051,8483,"Transmission shafts (including cam shafts and crank shafts) and cranks; bearing housings and plain shaft bearings; gears and gearings; ball or roller screws; gear boxes and other speed changers, including torque converters; flywheels an",10
1052,8484,"Gaskets and similar joints of metal sheeting combined with other material or of two or more layers of metal; sets or assortments of gaskets and similar joints, dissimilar in composition, put up in pouches, envelopes or si",10
1067,8514,Industrial or laboratory electric (including induction or dielectric) furnaces and ovens; other industrial or laboratory induction or dielectric heating equipment.,10
1068,8515,"Electric (including electrically heated gas), laser or other light or photon beam, ultrasonic, electron beam, magnetic pulse or plasma arc soldering, brazing or welding machines and apparatus, whether or not capable of cutting; electric",10
1102,8601,Rail locomotives powered from an external source of electricity or by electric accumulators.,10
1104,8603,"Self-propelled railway or tramway coaches, vans and trucks, other than those of heading No. 86.04.",10
1105,8604,"Railway or tramway maintenance or service vehicles, whether or not self-propelled (for example, workshops, cranes, ballast tampers, trackliners, testing coaches and track inspection vehicles).",10
1106,8605,"Railway or tramway passenger coaches, not self-propelled; luggage vans, post office coaches and other special purpose railway or tramway coaches, not self-propelled (excluding those of heading No. 86.04).",10
1170,9031,"Measuring or checking instruments, appliances and machines, not specified or included elsewhere in this Chapter; profile projectors.",10
1197,9302,"Revolvers and pistols, other than those of heading No. 93.03 or 93.04.",10
1199,9304,"Other arms (for example, spring, air or gas guns and pistols, truncheons), excluding those of heading No. 93.07.",10
