,HS_code,HS_description,cluster_labels
577,5002,Raw silk (not thrown).,5
578,5003,"Silk waste (including cocoons unsuitable for reeling, yarn waste and garnetted stock).",5
579,5004,Silk yarn (other than yarn spun from silk waste) not put up for retail sale.,5
580,5005,"Yarn spun from silk waste, not put up for retail sale.",5
582,5007,Woven fabrics of silk or of silk waste.,5
590,5108,"Yarn of fine animal hair (carded or combed), not put up for retail sale.",5
595,5113,Woven fabrics of coarse animal hair or of horsehair.,5
618,5311,Woven fabrics of other vegetable textile fibres; woven fabrics of paper yarn.,5
623,5405,"Artificial monofilament of 67 decitex or more and of which no cross-sectional dimension exceeds 1 mm; strip and the  like (for example, artificial straw) of artificial textile materials of an apparent width not exce",5
624,5406,"Man-made filament yarn (other than sewing thread), put up for retail sale.",5
630,5504,"Artificial staple fibres, not carded, combed or otherwise processed for spinning.",5
639,5513,"Woven fabrics of synthetic staple fibres, containing less than 85 % by weight of such fibres, mixed mainly or solely with cotton, of a weight not exceeding 170 g/m2.",5
656,5705,"Other carpets and other textile floor coverings, whether or not made up.",5
661,5805,"Hand-woven tapestries of the type Gobelins, Flanders, Aubusson, Beauvais and the like, and needle-worked tapestries (for example, petit point, cross stitch), whether or not made up.",5
668,5901,"Textile fabrics coated with gum or amylaceous substances, of a kind used for the outer covers of books or the like; tracing cloth; prepared painting canvas; buckram and similar stiffened textile fabrics of a kind us",5
670,5903,"Textile fabrics impregnated, coated, covered or laminated with plastics, other than those of heading No. 59.02.",5
679,6001,"Pile fabrics, including long pile fabrics and terry fabrics, knitted or crocheted.",5
696,6116,"Gloves, mittens and mitts, knitted or crocheted.",5
712,6215,"Ties, bow ties and cravats.",5
715,6301,Blankets and travelling rugs.,5
726,6402,Other footwear with outer soles and uppers of rubber or plastics.,5
731,6501,"Hat-forms, hat bodies and hoods of felt, neither blocked to shape nor with made brims; plateaux and manchons (including slit manchons), of felt.",5
732,6502,"Hat-shapes, plaited or made by assembling strips of any material, neither blocked to shape, nor with made brims, nor lined, nor trimmed.",5
734,6504,"Hats and other headgear, plaited or made by assembling strips of any material, whether or not lined or trimmed.",5
738,6601,"Umbrellas and sun umbrellas (including walking-stick umbrellas, garden umbrellas and similar umbrellas).",5
739,6602,"Walking-sticks, seat-sticks, whips, riding-crops and the like.",5
741,6701,"Skins and other parts of birds with their feathers or down, feathers, parts of feathers, down and articles thereof (other than goods of heading No. 05.05 and worked quills and scapes).",5
742,6702,"Artificial flowers, foliage and fruit and parts thereof; articles made of artificial flowers, foliage or fruit.",5
747,6803,Worked slate and articles of slate or of agglomerated slate.,5
770,6911,"Tableware, kitchenware, other household articles and toilet articles, of porcelain or china.",5
772,6913,Statuettes and other ornamental ceramic articles.,5
776,7003,"Cast glass and rolled glass, in sheets or profiles, whether or not having an absorbent, reflecting or non-reflecting layer, but not otherwise worked.",5
782,7009,"Glass mirrors, whether or not framed, including rear-view mirrors.",5
789,7016,"Paving blocks, slabs, bricks, squares, tiles and other articles of pressed or moulded glass, whether or not wired, of a kind used for building or construction purposes; glass cubes and and other glass smallwares, whether or not on a bac",5
791,7018,"Glass beads, imitation pearls, imitation precious or semi-precious stones and similar glass smallwares, and articles thereof other than imitation jewellery; glass eyes other than prosthetic articles; statuettes and other ornaments of la",5
863,7323,"Table, kitchen or other household articles and parts thereof, of iron or steel; iron or steel wool; pot scourers and scouring or polishing pads, gloves and the like, of iron or steel.",5
932,8103,"Tantalum and articles thereof, including waste and scrap.",5
935,8106,"Bismuth and articles thereof, including waste and scrap.",5
940,8111,"Manganese and articles thereof, including waste and scrap.",5
955,8213,"Scissors, tailors' shears and similar shears, and blades therefor.",5
956,8214,"Other articles of cutlery (for example, hair clippers, butchers' or kitchen cleavers, choppers and mincing knives, paper knives); manicure or pedicure sets and instruments (including nail files).",5
957,8215,"Spoons, forks, ladles, skimmers, cake-servers, fish-knives, butter-knives, sugar tongs and similar kitchen or tableware.",5
963,8306,"Bells, gongs and the like, non-electric, of base metal; statuettes and other ornaments, of base metal; photograph, picture or similar frames, of base metal; mirrors of base metal.",5
1012,8444,"Machines for extruding, drawing, texturing or cutting man-made textile materials.",5
1015,8447,"Knitting machines, stitch-bonding machines and machines for making gimped yarn, tulle, lace, embroidery, trimmings, braid or net and machines for tufting.",5
1017,8449,"Machinery for the manufacture or finishing of felt or nonwovens in the piece or in shapes, including machinery for making felt hats; blocks for making hats.",5
1066,8513,"Portable electric lamps designed to function by their own source of energy (for example, dry batteries, accumulators, magnetos), other than lighting equipment of heading No. 85.12.",5
1136,8905,"Light-vessels, fire-floats, dredgers, floating cranes, and other vessels the navigability of which is subsidiary to their main function; floating docks; floating or submersible drilling or production platforms.",5
1143,9004,"Spectacles, goggles and the like, corrective, protective or other.",5
1155,9016,"Balances of a sensitivity of 5 cg or better, with or without weights.",5
1177,9105,Other clocks.,5
1184,9112,"Clock cases and cases of a similar type for other goods of this Chapter, and parts thereof.",5
1187,9201,"Pianos, including automatic pianos; harpsichords and other keyboard stringed instruments.",5
1213,9505,"Festive, carnival or other entertainment articles, including conjuring tricks and novelty jokes.",5
1221,9605,"Travel sets for personal toilet, sewing or shoe or clothes cleaning.",5
1229,9613,"Cigarette lighters and other lighters, whether or not mechanical or electrical, and parts thereof other than flints and wicks.",5
1230,9614,"Smoking pipes (including pipe bowls) and cigar or cigarette holders, and parts thereof.",5
1231,9615,"Combs, hair-slides and the like; hairpins, curling pins, curling grips, hair-curlers and the like, other than those of heading No. 85.16, and parts thereof.",5
1232,9616,"Scent sprays and similar toilet sprays, and mounts and heads therefor; powder-puffs and pads for the application of cosmetics or toilet preparations.",5
1233,9617,"Vacuum flasks and other vacuum vessels, complete with cases; parts thereof other than glass inners.",5
