,HS_code,HS_description,cluster_labels
549,4808,"Paper and paperboard, corrugated (with or without glued flat surface sheets), creped, crinkled, embossed or perforated, in rolls or sheets, other than paper of the kind described in heading No. 48.03.",3
552,4811,"Paper, paperboard, cellulose wadding and webs of cellulose fibres, coated, impregnated, covered, surface-coloured, surface-decorated or printed, in rolls or sheets, other than goods of the kind described in heading No.",3
553,4812,"Filter blocks, slabs and plates, of paper pulp.",3
555,4814,Wallpaper and similar wall coverings; window transparencies of paper.,3
564,4823,"Other paper, paperboard, cellulose wadding and webs of cellulose fibres, cut to size or shape; other articles of paper pulp, paper, paperboard, cellulose wadding or webs of cellulose fibres.",3
566,4902,"Newspapers, journals and periodicals, whether or not illustrated or containing advertising material.",3
570,4906,"Plans and drawings for architectural, engineering, industrial, commercial, topographical or similar purposes, being originals drawn by hand; hand-written texts; photographic reproductions on sensitised paper and carbon",3
574,4910,"Calendars of any kind, printed, including calendar blocks.",3
589,5107,"Yarn of combed wool, not put up for retail sale.",3
619,5401,"Sewing thread of man-made filaments, whether or not put up for retail sale.",3
621,5403,"Artificial filament yarn (other than sewing thread), not put up for retail sale, including artificial monofilament of less than 67 decitex.",3
644,5602,"Felt, whether or not impregnated, coated, covered or laminated.",3
645,5603,"Nonwovens, whether or not impregnated, coated, covered or laminated.",3
654,5703,"Carpets and other textile floor coverings, tufted, whether or not made up.",3
667,5811,"Quilted textile products in the piece, composed of one or more layers of textile materials assembled with padding by stitching or otherwise, other than embroidery of heading No. 58.10.",3
676,5909,"Textile hosepiping and similar textile tubing, with or without lining, armour or accessories of other materials.",3
678,5911,"Textile products and articles, for technical uses, specified in Note 7 to this Chapter.",3
727,6403,"Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.",3
749,6805,"Natural or artificial abrasive powder or grain, on a base of textile material, of paper, of paperboard or of other materials, whether or not cut to shape or sewn or otherwise made up.",3
750,6806,"Slag wool, rock wool and similar mineral wools; exfoliated vermiculite, expanded clays, foamed slag and similar expanded mineral materials; mixtures and articles of heat-insulating, sound-insulating or sound-absorbing mineral materials,",3
751,6807,"Articles of asphalt or of similar material (for example, petroleum bitumen or coal tar pitch).",3
754,6810,"Articles of cement, of concrete or of artificial stone, whether or not reinforced.",3
759,6815,"Articles of stone or of other mineral substances (including carbon fibres, articles of carbon fibres and articles of peat), not elsewhere specified or included.",3
761,6902,"Refractory bricks, blocks, tiles and similar refractory ceramic constructional goods, other than those of siliceous fossil meals or similar siliceous earths.",3
763,6904,"Ceramic building bricks, flooring blocks, support or filler tiles and the like.",3
764,6905,"Roofing tiles, chimney-pots, cowls, chimney liners, architectural ornaments and other ceramic constructional goods.",3
780,7007,"Safety glass, consisting of toughened (tempered) or laminated glass.",3
781,7008,Multiple-walled insulating units of glass.,3
784,7011,"Glass envelopes (including bulbs and tubes), open, and glass parts thereof, without fittings, for electric lamps, cathode-ray tubes or the like.",3
786,7013,"Glassware of a kind used for table, kitchen, toilet, office, indoor decoration or similar purposes (other than that of heading No. 70.10 or 70.18).",3
792,7019,"Glass fibres (including glass wool) and articles thereof (for example, yarn, woven fabrics).",3
793,7020,Other articles of glass.,3
807,7114,"Articles of goldsmiths' or silversmiths' wares and parts thereof, of precious metal or of metal clad with precious  metal.",3
822,7211,"Flat-rolled products of iron or non-alloy steel, of a width of less than 600 mm, not clad, plated or coated.",3
823,7212,"Flat-rolled products of iron or non-alloy steel, of a width of less than 600 mm, clad, plated or coated.",3
826,7215,Other bars and rods of iron or non-alloy steel.,3
839,7228,"Other bars and rods of other alloy steel; angles, shapes and sections, of other alloy steel; hollow  drill bars and rods, of alloy or non-alloy steel.",3
842,7302,"Railway or tramway track construction material of iron or steel, the following: rails, check-rails and rack rails, switch blades, crossing frogs, point rods and other crossing pieces, sleepers (cross-ties), fish-plates, chairs, chair we",3
844,7304,"Tubes, pipes and hollow profiles, seamless, of iron (other than cast iron) or steel.",3
847,7307,"Tube or pipe fittings (for example, couplings, elbows, sleeves), of iron or steel.",3
860,7320,"Springs and leaves for springs, of iron or steel.",3
861,7321,"Stoves, ranges, grates, cookers (including those with subsidiary boilers for central heating), barbecues, braziers, gas-rings, plate warmers and similar non-electric domestic appliances, and parts thereof, of iron or steel",3
862,7322,"Radiators for central heating, not electrically heated, and parts thereof, of iron or steel; air heaters and hot air distributors (including distributors which can also distribute fresh or conditioned air), not electrically heated, inco",3
864,7324,"Sanitary ware and parts thereof, of iron or steel.",3
865,7325,Other cast articles of iron or steel.,3
866,7326,Other articles of iron or steel.,3
873,7407,"Copper bars, rods and profiles.",3
877,7411,Copper tubes and pipes.,3
885,7419,Other articles of copper.,3
896,7603,Aluminium powders and flakes.,3
899,7606,"Aluminium plates, sheets and strip, of a thickness exceeding 0.2 mm.",3
900,7607,"Aluminium foil (whether or not printed or backed with paper, paperboard, plastics or similar backing materials) of a thickness (excluding any backing) not exceeding 0.2 mm.",3
901,7608,Aluminium tubes and pipes.,3
902,7609,"Aluminium tube or pipe fittings (for example, couplings, elbows, sleeves).",3
904,7611,"Aluminium reservoirs, tanks, vats and similar containers, for any material (other than compressed or liquefied gas), of a capacity exceeding 300 l, whether or not lined or heat-insulated, but not fitted with mechanica",3
909,7616,Other articles of aluminium.,3
922,7907,Other articles of zinc.,3
943,8201,"Hand tools, the following: spades, shovels, mattocks, picks, hoes, forks and rakes: axes, bill hooks and similar hewing tools; secateurs and pruners of any kind; scythes, sickles, hay knives, hedge shears, timber wedges and other tools",3
947,8205,"Hand tools (including glaziers' diamonds), not elsewhere specified or included; blow lamps; vices, clamps and the like, other than accessories for and parts of, machine tools; anvils; portable forges; hand or pedal-operated grinding whe",3
950,8208,"Knives and cutting blades, for machines or for mechanical appliances.",3
958,8301,"Padlocks and locks (key, combination or electrically operated), of base metal; clasps and frames with clasps, incorporating locks, of base metal; keys for any of the foregoing articles, of base metal.",3
959,8302,"Base metal mountings, fittings and similar articles suitable for furniture, doors, staircases, windows, blinds, coachwork,saddlery, trunks, chests, caskets or the like; base metal hatracks, hat-pegs, brackets and similar fixtures; casto",3
960,8303,"Armoured or reinforced safes, strong-boxes and doors and safe deposit lockers for strong-rooms, cash or deed boxes and the like, of base metal.",3
962,8305,"Fittings for loose-leaf binders or files, letter clips, letter corners, paper clips, indexing tags and similar office articles, of base metal; staples in strips (for example, for offices, upholstery, packaging), of base m",3
968,8311,"Wire, rods, tubes, plates, electrodes and similar products, of base metal or of metal carbides, coated or cored with flux material, of a kind used for soldering, brazing, welding or deposition of metal or of metal carbides; wire and rod",3
971,8403,Central heating boilers other than those of heading No. 84.02.,3
975,8407,Spark-ignition reciprocating or rotary internal combustion piston engines.,3
976,8408,Compression-ignition internal combustion piston engines (diesel or semi-diesel engines).,3
977,8409,Parts suitable for use solely or principally with the engines of heading No. 84.07 or 84.08.,3
980,8412,Other engines and motors.,3
981,8413,"Pumps for liquids, whether or not fitted with a measuring device; liquid elevators.",3
982,8414,"Air or vacuum pumps, air or other gas compressors and fans; ventilating or recycling hoods incorporating a fan, whether or not fitted with filters.",3
984,8416,"Furnace burners for liquid fuel, for pulverised solid fuel or for gas; mechanical stokers, including their mechanical grates, mechanical ash dischargers and similar appliances.",3
985,8417,"Industrial or laboratory furnaces and ovens, including incinerators, non-electric.",3
986,8418,"Refrigerators, freezers and other refrigerating or freezing equipment, electric or other; heat pumps other than air conditioning machines of heading No. 84.15.",3
987,8419,"Machinery, plant or laboratory equipment, whether or not electrically heated, for the treatment of materials by a process involving a change of temperature such as heating, cooking, roasting, distilling, rectifying, sterilising, pasteur",3
989,8421,"Centrifuges, including centrifugal dryers; filtering or purifying machinery and apparatus, for liquids or gases.",3
990,8422,"Dish washing machines; machinery for cleaning or drying bottles or other containers; machinery for filling, closing, sealing or labelling bottles, cans,boxes, bags or other containers; machinery for capsuling bottles, jars, tubes and si",3
992,8424,"Mechanical appliances (whether or not hand-operated) for projecting, dispersing or spraving liquids or powders; fire extinguishers, whether or not charged; spray guns and similar appliances; steam or sand blasting machines and similar j",3
993,8425,Pulley tackle and hoists other than skip hoists; winches and capstans; jacks.,3
996,8428,"Other lifting, handling, loading or unloading machinery (for example, lifts, escalators, conveyors, teleferics).",3
999,8431,Parts suitable for use solely or principally with the machinery of headings Nos. 84.25 to 84.30.,3
1000,8432,"Agricultural, horticultural or forestry machinery for soil preparation or cultivation; lawn or sports-ground rollers.",3
1001,8433,"Harvesting or threshing machinery, including straw or fodder balers; grass or hay mowers; machines for cleaning, sorting or grading eggs, fruit or other agricultural produce, other than machinery of heading No. 84.37.",3
1002,8434,Milking machines and dairy machinery.,3
1003,8435,"Presses, crushers and similar machinery used in the manufacture of wine, cider, fruit juices or similar beverages.",3
1004,8436,"Other agricultural, horticultural, forestry, poultry-keeping or bee-keeping machinery, including germination plant fitted with mechanical or thermal equipment; poultry incubators and brooders.",3
1005,8437,"Machines for cleaning, sorting or grading seed, grain or dried leguminous vegetables; machinery used in the milling industry or for the working of cereals or dried leguminous vegetables, other than farm-type machinery.",3
1010,8442,"Machinery, apparatus and equipment (other than the machine-tools of headings Nos.84.56 to 84.65), for type-founding or type-setting, for preparing or making printing blocks, plates, cylinders or other printing components; printing type,",3
1027,8459,"Machine-tools (including way-type unit head machines) for drilling, boring, milling, threading or tapping by removing metal, other than lathes (including turning centres) of heading No. 84.58.",3
1033,8465,"Machine-tools (including machines for nailing, stapling, glueing or otherwise assembling) for working wood, cork, bone, hard rubber, hard plastics or similar hard materials.",3
1036,8468,"Machinery and apparatus for soldering, brazing or welding, whether or not capable of cutting, other than those of heading No. 85.15; gas-operated surface tempering machines and appliances.",3
1042,8474,"Machinery for sorting, screening, separating, washing, crushing, grinding, mixing or kneading earth, stone, ores or other mineral substances, in solid (including powder or paste) form; machinery for agglomerating, shaping or moulding so",3
1044,8476,"Automatic goods-vending machines (for example, postage stamp, cigarette, food or beverage machines), including money-changing machines.",3
1049,8481,"Taps, cocks, valves and similar appliances for pipes, boiler shells, tanks, vats or the like, including pressure-reducing valves and thermostatically controlled valves.",3
1053,8485,"Machinery parts, not containing electrical connectors, insulators, coils, contacts or other electrical features, not specified or included elsewhere in this Chapter.",3
1054,8501,Electric motors and generators (excluding generating sets).,3
1056,8503,Parts suitable for use solely or principally with the machines of heading No. 85.01 or 85.02.,3
1057,8504,"Electrical transformers, static converters (for example, rectifiers) and inductors.",3
1060,8507,"Electric accumulators, including separators therefor, whether or not rectangular (including square).",3
1063,8510,"Shavers, hair clippers and hair-removing appliances, with self-contained electric motor.",3
1064,8511,"Electrical ignition or starting equipment of a kind used for spark-ignition or compression-ignition internal combustion engines (for example, ignition magnetos, magneto-dynamos, ignition coils, sparking plugs and glow plugs, starter mot",3
1065,8512,"Electrical lighting or signalling equipment (excluding articles of heading No. 85.39), windscreen wipers, defrosters and demisters, of a kind used for cycles or motor vehicles.",3
1069,8516,"Electric instantaneous or storage water heaters and immersion heaters; electric space heating apparatus and soil heating apparatus; electro-thermic hair-dressing apparatus (for example, hair dryers, hair curlers, curling tong heaters) a",3
1077,8524,"Records, tapes and other recorded media for sound or other similarly recorded phenomena, including matrices and masters for the production of records, but excluding products of Chapter 37.",3
1079,8526,"Radar apparatus, radio navigational aid apparatus and radio remote control apparatus.",3
1083,8530,"Electrical signalling, safety or traffic control equipment for railways, tramways, roads, inland waterways, parking facilities, port installations or airfields (other than those of heading No. 86.08).",3
1084,8531,"Electric sound or visual signalling apparatus (for example, bells, sirens, indicator panels, burglar or fire alarms), other than those of heading No. 85.12 or 85.30.",3
1086,8533,"Electrical resistors (including rheostats and potentiometers), other than heating resistors.",3
1088,8535,"Electrical apparatus for switching or protecting electrical circuits, or for making connections to or in electrical circuits (for example, switches, fuses, lightning arresters, voltage limiters, surge suppressors, plugs, junction boxes)",3
1089,8536,"Electrical apparatus for switching or protecting electrical circuits, or for making connections to or in electrical circuits (for example, switches, relays, fuses, surge suppressors, plugs, sockets, lamp-holders, junction boxes), for a)",3
1090,8537,"Boards, panels, consoles, desks, cabinets and other bases, equipped with two or more apparatus of heading No.85.35 or 85.36, for electric control or the distribution of electricity, including those incorporating instruments or apparatus",3
1091,8538,"Parts suitable for use solely or principally with the apparatus of heading No. 85.35, 85.36 or 85.37.",3
1098,8545,"Carbon electrodes, carbon brushes, lamp carbons, battery carbons and other articles of graphite or other carbon, with or without metal, of a kind used for electrical purposes.",3
1099,8546,Electrical insulators of any material.,3
1100,8547,"Insulating fittings for electrical machines, appliances or equipment, being fittings wholly of insulating material apart from any minor components of metal (for example, threaded sockets) incorporated during moulding solely for purposes",3
1108,8607,Parts of railway or tramway locomotives or rolling-stock.,3
1109,8608,"Railway or tramway track fixtures and fittings; mechanical (including electro-mechanical) signalling, safety or traffic control equipment for railways, tramways, roads, inland waterways, parking facilities, port installations or airfiel",3
1111,8701,Tractors (other than tractors of heading No. 87.09).,3
1113,8703,"Motor cars and other motor vehicles principally designed for the transport of persons (other than those of heading No. 87.02),including station wagons and racing cars.",3
1114,8704,Motor vehicles for the transport of goods.,3
1115,8705,"Special purpose motor vehicles, other than those principally designed for the transport of persons or goods (for example, breakdown lorries, crane lorries, fire fighting vehicles, concrete-mixer lorries, road sweeper lorries,  spraying",3
1117,8707,"Bodies (including cabs), for the motor vehicles of headings Nos. 87.01 to 87.05.",3
1118,8708,Parts and accessories of the motor vehicles of headings Nos. 87.01 to 87.05.,3
1119,8709,"Works trucks, self-propelled, not fitted with lifting or handling equipment, of the type used in factories, warehouses, dock areas or airports for short distance transport of goods; tractors of the type used on railway station platforms",3
1122,8712,"Bicycles and other cycles (including delivery tricycles), not motorised.",3
1126,8716,"Trailers and semi-trailers; other vehicles, not mechanically propelled; parts thereof.",3
1144,9005,"Binoculars, monoculars, other optical telescopes, and mountings therefor; other astronomical instruments and mountings therefor, but not including instruments for radio-astronomy.",3
1147,9008,"Image projectors, other than cinematographic; photographic (other than cinematographic) enlargers and reducers.",3
1164,9025,"Hydrometers and similar floating instruments, thermometers, pyrometers, barometers, hygrometers and psychrometers, recording or not, and any combination of these instruments.",3
1165,9026,"Instruments + apparatus for measuring or checking the flow,level,pressure or other variables of liquids or gases(e.g.,flow meters,level gauges,manometers,heat meters),excluding instrument+apparatus of heading No.90.14,90.15,90.28,90.32",3
1167,9028,"Gas, liquid or electricity supply or production meters, including calibrating meters therefor.",3
1168,9029,"Revolution counters, production counters, taximeters, mileometers, pedometers and the like; speed indicators and tachometers, other than those of heading No. 90.14 or 90.15; stroboscopes.",3
1171,9032,Automatic regulating or controlling instruments and apparatus.,3
1195,9209,"Parts (for example, mechanisms for musical boxes) and accessories (for example, cards, discs and rolls for mechanical instruments) of musical instruments; metronomes, tuning forks and pitch pipes of all kinds.",3
1203,9401,"Seats (other than those of heading No. 94.02), whether or not convertible into beds, and parts thereof.",3
1204,9402,"Medical, surgical, dental or veterinary furniture (e.g., operating tables, examination tables, hospital beds with mechanical fittings, dentists' chairs); barbers' chairs and similar chairs, having rotating as well as both reclining and",3
1205,9403,Other furniture and parts thereof.,3
1214,9506,"Articles and equipment for general physical exercise, gymnastics, athletics, other sports (including table- tennis) or outdoor games, not specified or included elsewhere in this Chapter; swimming pools and paddling pools.",3
1216,9508,"Roundabouts, swings, shooting galleries and other fairground amusements; travelling circuses, travelling menageries and travelling theatres.",3
1219,9603,"Brooms, brushes (including brushes constituting parts of machines, appliances or vehicles), hand-operated mechanical floor sweepers, not motorised, mops and feather dusters; prepared knots and tufts for broom or brush making; paint pads",3
1220,9604,Hand sieves and hand riddles.,3
