,HS 1996 Product Code,HS 1996 Product Description,cluster_labels
524,4417,"Tools, tool bodies, tool handles, broom or brush bodies and handles, of wood; boot or shoe lasts and trees, of wood.",5
525,4418,"Builders' joinery and carpentry of wood, including cellular wood panels, assembled parquet panels, shingles and shakes.",5
527,4420,"Wood marquetry and inlaid wood; caskets and cases for jewellery or cutlery, and similar articles, of wood; statuettes and other ornaments, of wood; wooden articles of furniture not falling in Chapter 94.",5
528,4421,Other articles of wood.,5
541,4707,Recovered (waste and scrap) paper or paperboard.,5
544,4803,"Toilet or facial tissue stock, towel or napkin stock and similar paper of a kind used for household or saniary purposes, cellulose wadding and webs of cellulose fibres, whether or not creped, crinkled, embossed, perforated, surface-colo",5
549,4808,"Paper and paperboard, corrugated (with or without glued flat surface sheets), creped, crinkled, embossed or perforated, in rolls or sheets, other than paper of the kind described in heading No. 48.03.",5
558,4817,"Envelopes, letter cards, plain postcards and correspondence cards, of paper or paperboard; boxes, pouches, wallets and writing compendiums, of paper or paperboard, containing an assortment of paper stationery.",5
559,4818,"Toilet paper and similar paper, cellulose wadding or webs of cellulose fibres, of a kind used for household or sanitary purposes, in rolls of a width not exceeding 36cm, or cut to size or shape; handkerchiefs, cleansing tissues, towels,",5
560,4819,"Cartons, boxes, cases, bags and other packing containers, of paper, paperboard, cellulose wadding or webs of cellulose fibres; box files, letter trays, and similar articles, of paper or paperboard of a kind used in off",5
561,4820,"Registers, account books, note books, order books, receipt books, letter pads, memorandum pads, diaries and similar articles, exercise books, blotting-pads, blinders (loose-leaf or other), folders, file covers, manifold businee forms, i",5
562,4821,"Paper or paperboard lables of all kinds, whether or not printed.",5
563,4822,"Bobbins, spools, cops and similar supports of paper pulp, paper or paperboard (whether or not perforated or hardened).",5
571,4907,"Unused postage, revenue or similar stamps of current or new issue in the country to which they are destined; stamp-impressed paper; banknotes; cheque forms; stock, share or bond certificates and similar documents of ti",5
599,5204,"Cotton sewing thread, whether or not put up for retail sale.",5
602,5207,Cotton yarn (other than sewing thread) put up for retail sale.,5
620,5402,"Synthetic filament yarn (other than sewing thread), not put up for retail sale, including synthetic monofilament of less than 67 decitex.",5
631,5505,"Waste (including noils, yarn waste and garnetted stock) of man-made fibres.",5
635,5509,"Yarn (other than sewing thread) of synthetic staple fibres, not put up for retail sale.",5
636,5510,"Yarn (other than sewing thread) of artificial staple fibres, not put up for retail sale.",5
640,5514,"Woven fabrics of synthetic staple fibres, containing less than 85 % by weight of such fibres, mixed mainly or solely with cotton, of a weight exceeding 170 g/m2.",5
649,5607,"Twine, cordage, ropes and cables, whether or not plaited or braided and whether or not impregnated, coated, covered or sheathed with rubber or plastics.",5
650,5608,"Knotted netting of twine, cordage or rope; made up fishing nets and other made up nets, of textile materials.",5
651,5609,"Articles of yarn, strip or the like of heading No. 54.04 or 54.05, twine, cordage, rope or cables, not elsewhere specified or included.",5
681,6101,"Men's or boys' overcoats, car-coats, capes, cloaks, anoraks (including ski-jackets), wind-cheaters, wind-jackets and similar articles, knitted or crocheted, other than those of heading No. 61.03.",5
682,6102,"Women's or girls' overcoats, car-coats, capes, cloaks, anoraks (including ski-jackets), wind-cheaters, wind- jackets and similar articles, knitted or crocheted, other than those of heading No. 61.04.",5
683,6103,"Men's or boys' suits, ensembles, jackets, blazers, trousers, bib and brace overalls, breeches and shorts (other than swimwear), knitted or crocheted.",5
684,6104,"Women's or girls' suits, ensembles, jackets, blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear), knitted or crocheted.",5
685,6105,"Men's or boys' shirts, knitted or crocheted.",5
686,6106,"Women's or girls' blouses, shirts and shirt-blouses, knitted or crocheted.",5
687,6107,"Men's or boys' underpants, briefs, nightshirts, pyjamas, bathrobes, dressing gowns and similar articles, knitted or crocheted.",5
688,6108,"Women's or girls' slips, petticoats, briefs, panties, nightdresses, pyjamas, n,glig,s, bathrobes, dressing gowns and similar articles, knitted or crocheted.",5
689,6109,"T-shirts, singlets and other vests, knitted or crocheted.",5
690,6110,"Jerseys, pullovers, cardigans, waist-coats and similar articles, knitted or crocheted.",5
691,6111,"Babies' garments and clothing accessories, knitted or crocheted.",5
692,6112,"Track suits, ski suits and swimwear, knitted or crocheted.",5
693,6113,"Garments, made up of knitted or crocheted fabrics of heading No. 59.03, 59.06 or 59.07.",5
694,6114,"Other garments, knitted or crocheted.",5
695,6115,"Panty hose, tights, stockings, socks and other hosiery, including stockings for varicose veins and footwear without applied soles, knitted or crocheted.",5
698,6201,"Men's or boys' overcoats, car-coats, capes, cloaks, anoraks (including ski-jackets), wind-cheaters, wind-jackets and similar articles, other than those of heading No. 62.03.",5
700,6203,"Men's or boys' suits, ensembles, jackets, blazers, trousers, bib and brace overalls, breeches and shorts (other than swimwear).",5
701,6204,"Women's or girls' suits, ensembles, jackets, blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear).",5
702,6205,Men's or boys' shirts.,5
703,6206,"Women's or girls' blouses, shirts and shirt-blouses.",5
704,6207,"Men's or boys' singlets and other vests, underpants, briefs, nightshirts, pyjamas, bathrobes, dressing gowns and similar articles.",5
705,6208,"Women's or girls' singlets and other vests, slips,  petticoats, briefs, panties, nightdresses, pyjamas, n,glig,s, bathrobes, dressing gowns and similar articles.",5
706,6209,Babies' garments and clothing accessories.,5
707,6210,"Garments, made up of fabrics of heading No. 56.02, 56.03, 59.03, 59.06 or 59.07.",5
708,6211,"Track suits, ski suits and swimwear; other garments.",5
709,6212,"BrassiSres, girdles, corsets, braces, suspenders, garters and similar articles and parts thereof, whether or not knitted or crocheted.",5
717,6303,Curtains (including drapes) and interior blinds; curtain or bed valances.,5
720,6306,"Tarpaulins, awnings and sunblinds; tents; sails for boats, sailboards or landcraft; camping goods.",5
723,6309,Worn clothing and other worn articles.,5
724,6310,"Used or new rags, scrap twine, cordage, rope and cables and worn out articles of twine, cordage, rope or cables, of textile materials.",5
725,6401,"Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor assembled by stitching, riveting, nailing, screwing, plugging or similar processes.",5
727,6403,"Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather.",5
729,6405,Other footwear.,5
730,6406,"Parts of footwear (including uppers whether or not attached to soles other than outer soles); removable in-soles, heel cushions and similar articles; gaiters, leggings and similar articles, and parts thereof.",5
753,6809,Articles of plaster or of compositions based on plaster.,5
754,6810,"Articles of cement, of concrete or of artificial stone, whether or not reinforced.",5
769,6910,"Ceramic sinks, wash basins, wash basin pedestals, baths, bidets, water closet pans, flushing cisterns, urinals and similar sanitary fixtures.",5
774,7001,Cullet and other waste and scrap of glass; glass in the mass.,5
783,7010,"Carboys, bottles, flasks, jars, pots, phials, ampoules and other containers, of glass, of a kind used for the conveyance or packing of goods; preserving jars of glass; stoppers, lids and other closures, of glass.",5
815,7204,Ferrous waste and scrap; remelting scrap ingots of iron or steel.,5
821,7210,"Flat-rolled products of iron or non-alloy steel, of a width of 600 mm or more, clad, plated or coated.",5
823,7212,"Flat-rolled products of iron or non-alloy steel, of a width of less than 600 mm, clad, plated or coated.",5
826,7215,Other bars and rods of iron or non-alloy steel.,5
827,7216,"Angles, shapes and sections of iron or non-alloy steel.",5
828,7217,Wire of iron or non-alloy steel.,5
846,7306,"Other tubes, pipes and hollow profiles (for example, open seam or welded, riveted or similarly closed), of iron or steel.",5
848,7308,"Structures (excluding prefabricated buildings of heading No.94.06) and parts of structures (for example, bridges and bridge-sections, lock-gates, towers, lattice masts, roof roofing frame-works, doors and windows and their frames and th",5
849,7309,"Reservoirs, tanks, vats and similar containers for any material (other than compressed or liquefied gas), of iron or steel, of a capacity exceeding 300 l, whether or not lined or heat-insulated, but not fitted with me",5
850,7310,"Tanks, casks, drums, cans, boxes and similar containers, for any material (other than compressed or liquefied gas), of iron or steel, of a capacity not exceeding 300l, whether or not lined or heat-insulated, but not fitted with mechanic",5
851,7311,"Containers for compressed or liquefied gas, of iron or steel.",5
854,7314,"Cloth (including endless bands), grill, netting and fencing, of iron or steel wire; expanded metal of iron or steel.",5
857,7317,"Nails, tacks, drawing pins, corrugated nails, staples (other than those of heading No. 83.05) and similar articles, of iron or steel, whether or not with heads of other material, but excluding such articles with heads",5
865,7325,Other cast articles of iron or steel.,5
870,7404,Copper waste and scrap.,5
895,7602,Aluminium waste and scrap.,5
897,7604,"Aluminium bars, rods and profiles.",5
903,7610,"Aluminium structures (excluding prefabricated buildings of heading No.94.06) and parts of structures (for example, bridges and bridge-sections, towers, lattice masts, roofs, roofing frameworks, doors and windows and their frames and thr",5
905,7612,"Aluminium casks, drums, cans, boxes and similar containers (including rigid or collapsible tubular containers), for any material (other than compressed or liquefied gas), of a capacity not exceeding 300 l, whether or not lined or heat-i",5
911,7802,Lead waste and scrap.,5
915,7806,Other articles of lead.,5
917,7902,Zinc waste and scrap.,5
966,8309,"Stoppers, caps and lids (including crown corks, screw caps and pouring stoppers), capsules for bottles, threaded bungs, bung covers, seals and other packing accessories, of base metal.",5
1018,8450,"Household or laundry-type washing machines, including machines which both wash and dry.",5
1081,8528,"Reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus; video monitors and video projectors.",5
1097,8544,"Insulated (including enamelled or anodised) wire, cable (including co-axial cable)mand other insulated electric conductors, whether or not fitted with connectors; optical fibre cables, made up of individually sheathed fibres, whether or",5
1126,8716,"Trailers and semi-trailers; other vehicles, not mechanically propelled; parts thereof.",5
1203,9401,"Seats (other than those of heading No. 94.02), whether or not convertible into beds, and parts thereof.",5
1205,9403,Other furniture and parts thereof.,5
1206,9404,"Mattress supports; articles of bedding and similar furnishing (for example, mattresses, quilts, eiderdowns,",5
1208,9406,Prefabricated buildings.,5
1215,9507,"Fishing rods, fish-hooks and other line fishing tackle; fish landing nets, butterfly nets and similar nets; decoy birds (other than those of heading No. 92.08 or 97.05) and similar hunting or shooting requisites.",5
