code_prod_arg,HS_code,HS_description,code_1719,code_0709,code_9799,vcr_1719,vcr_0709,vcr_9799,sum_vcr
8432,8432,"Agricultural, horticultural or forestry machinery for soil preparation or cultivation; lawn or sports-ground rollers.",,8432.0,,0,1,0,1
8434,8434,Milking machines and dairy machinery.,,8434.0,,0,1,0,1
8702,8702,"Motor vehicles for the transport of ten or more persons, including the driver.",,8702.0,8702.0,0,1,1,2
8704,8704,Motor vehicles for the transport of goods.,8704.0,8704.0,8704.0,1,1,1,3
8802,8802,"Other aircraft (for example, helicopters, aeroplanes); spacecraft (including satellites) and suborbital and spacecraft launch vehicles.",,8802.0,,0,1,0,1
8902,8902,Fishing vessels; factory ships and other vessels for processing or preserving fishery products.,,8902.0,8902.0,0,1,1,2
8904,8904,Tugs and pusher craft.,8904.0,,8904.0,1,0,1,2
8908,8908,Vessels and other floating structures for breaking up.,,,8908.0,0,0,1,1
9028,9028,"Gas, liquid or electricity supply or production meters, including calibrating meters therefor.",,9028.0,9028.0,0,1,1,2
9302,9302,"Revolvers and pistols, other than those of heading No. 93.03 or 93.04.",9302.0,9302.0,9302.0,1,1,1,3
9610,9610,"Slates and boards, with writing or drawing surfaces, whether or not framed.",,,9610.0,0,0,1,1
